chemical,Replication,Concentration,Response,celltype,phenotype
Fluoranthene,2,0.1,1.011185931,iCell Neurons,ATP
"p,p'-DDT",2,0.1,1.120262675,iCell Neurons,ATP
Dieldrin,2,0.1,1.078524125,iCell Neurons,ATP
Aldrin,2,0.1,1.141410206,iCell Neurons,ATP
Heptachlor,2,0.1,1.014525015,iCell Neurons,ATP
Lindane,2,0.1,1.101341199,iCell Neurons,ATP
Disulfoton,2,0.1,1.08269798,iCell Neurons,ATP
Endrin,2,0.1,1.141688463,iCell Neurons,ATP
Diazinon,2,0.1,1.086315321,iCell Neurons,ATP
Heptachlor epoxide,2,0.1,1.149757916,iCell Neurons,ATP
Pentachlorophenol,2,0.1,1.134732039,iCell Neurons,ATP
Dibutyl phthalate,2,0.1,1.133619011,iCell Neurons,ATP
Chlorpyrifos,2,0.1,1.117201848,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,2,0.1,1.01869887,iCell Neurons,ATP
"2,4,6-Trichlorophenol",2,0.1,1.064889532,iCell Neurons,ATP
Ethion,2,0.1,1.193722522,iCell Neurons,ATP
Azinphos-methyl,2,0.1,0.82781457,iCell Neurons,ATP
"2,4,5-Trichlorophenol",2,0.1,0.839223106,iCell Neurons,ATP
Parathion,2,0.1,0.99643831,iCell Neurons,ATP
Benzo(b)fluoranthene,2,0.1,0.746841783,iCell Neurons,ATP
Trifluralin,2,0.1,1.087984863,iCell Neurons,ATP
Acenaphthene,2,0.1,0.859814124,iCell Neurons,ATP
"p,p'-DDD",2,0.1,1.074628527,iCell Neurons,ATP
Benzidine,2,0.1,1.012298959,iCell Neurons,ATP
Endosulfan,2,0.1,1.055707051,iCell Neurons,ATP
Methoxychlor,2,0.1,1.154210028,iCell Neurons,ATP
"2,4-Dinitrophenol",2,0.1,1.190939952,iCell Neurons,ATP
"2,4-Dinitrotoluene",2,0.1,1.148923145,iCell Neurons,ATP
Dicofol,2,0.1,0.906839557,iCell Neurons,ATP
p-Cresol,2,0.1,1.0993934,iCell Neurons,ATP
"o,p'-DDT",2,0.1,1.02426401,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",2,0.1,1.181757471,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",2,0.1,1.036785575,iCell Neurons,ATP
Lead nitrate,2,0.1,0.959986644,iCell Neurons,ATP
Cadmium chloride,2,0.1,0.972508209,iCell Neurons,ATP
Zinc chloride,2,0.1,0.769102343,iCell Neurons,ATP
Mercuric chloride,2,0.1,0.402359619,iCell Neurons,ATP
Potassium chromate (VI),2,0.1,0.727363793,iCell Neurons,ATP
Cobalt chloride,2,0.1,1.059602649,iCell Neurons,ATP
Nickel chloride,2,0.1,1.033724748,iCell Neurons,ATP
Benz(a)anthracene,1,1,0.901487225,iCell Neurons,ATP
Naphthalene,1,1,1.036989958,iCell Neurons,ATP
Fluoranthene,1,1,1.005720097,iCell Neurons,ATP
"p,p'-DDT",1,1,1.229439431,iCell Neurons,ATP
Dieldrin,1,1,1.069022499,iCell Neurons,ATP
Aldrin,1,1,1.214948519,iCell Neurons,ATP
Heptachlor,1,1,1.065209101,iCell Neurons,ATP
Lindane,1,1,0.935045125,iCell Neurons,ATP
Disulfoton,1,1,1.059107665,iCell Neurons,ATP
Endrin,1,1,1.275962883,iCell Neurons,ATP
Diazinon,1,1,0.979026312,iCell Neurons,ATP
Heptachlor epoxide,1,1,0.935299352,iCell Neurons,ATP
Pentachlorophenol,1,1,1.124189653,iCell Neurons,ATP
Dibutyl phthalate,1,1,1.084530317,iCell Neurons,ATP
Chlorpyrifos,1,1,1.242404983,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,1,1,1.207830177,iCell Neurons,ATP
"2,4,6-Trichlorophenol",1,1,0.851150375,iCell Neurons,ATP
Ethion,1,1,0.84199822,iCell Neurons,ATP
Azinphos-methyl,1,1,0.505402313,iCell Neurons,ATP
"2,4,5-Trichlorophenol",1,1,0.874539214,iCell Neurons,ATP
Parathion,1,1,1.086309902,iCell Neurons,ATP
Benzo(b)fluoranthene,1,1,1.470700394,iCell Neurons,ATP
Trifluralin,1,1,0.95436634,iCell Neurons,ATP
Acenaphthene,1,1,1.195373077,iCell Neurons,ATP
"p,p'-DDD",1,1,1.072835897,iCell Neurons,ATP
Benzidine,1,1,1.304182026,iCell Neurons,ATP
Endosulfan,1,1,1.172746918,iCell Neurons,ATP
Methoxychlor,1,1,1.129782636,iCell Neurons,ATP
"2,4-Dinitrophenol",1,1,1.080462692,iCell Neurons,ATP
"2,4-Dinitrotoluene",1,1,1.130545316,iCell Neurons,ATP
Dicofol,1,1,1.120122029,iCell Neurons,ATP
p-Cresol,1,1,1.242913436,iCell Neurons,ATP
"o,p'-DDT",1,1,1.239608491,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",1,1,1.127240371,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",1,1,1.274183297,iCell Neurons,ATP
Lead nitrate,1,1,1.15647642,iCell Neurons,ATP
Cadmium chloride,1,1,1.057328079,iCell Neurons,ATP
Zinc chloride,1,1,0.986398881,iCell Neurons,ATP
Mercuric chloride,1,1,0.057455193,iCell Neurons,ATP
Potassium chromate (VI),1,1,0.806660735,iCell Neurons,ATP
Cobalt chloride,1,1,0.967077666,iCell Neurons,ATP
Nickel chloride,1,1,0.963010042,iCell Neurons,ATP
Benz(a)anthracene,2,1,0.917135066,iCell Neurons,ATP
Naphthalene,2,1,0.875674773,iCell Neurons,ATP
Fluoranthene,2,1,0.927430575,iCell Neurons,ATP
"p,p'-DDT",2,1,0.975847293,iCell Neurons,ATP
Dieldrin,2,1,0.915743781,iCell Neurons,ATP
Aldrin,2,1,1.194557293,iCell Neurons,ATP
Heptachlor,2,1,1.110245423,iCell Neurons,ATP
Lindane,2,1,1.081584952,iCell Neurons,ATP
Disulfoton,2,1,1.156157827,iCell Neurons,ATP
Endrin,2,1,1.183148756,iCell Neurons,ATP
Diazinon,2,1,1.093271746,iCell Neurons,ATP
Heptachlor epoxide,2,1,1.040124659,iCell Neurons,ATP
Pentachlorophenol,2,1,1.23935667,iCell Neurons,ATP
Dibutyl phthalate,2,1,1.181479214,iCell Neurons,ATP
Chlorpyrifos,2,1,1.182313985,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,2,1,1.543769826,iCell Neurons,ATP
"2,4,6-Trichlorophenol",2,1,1.145862318,iCell Neurons,ATP
Ethion,2,1,1.032333463,iCell Neurons,ATP
Azinphos-methyl,2,1,0.776893539,iCell Neurons,ATP
"2,4,5-Trichlorophenol",2,1,0.863431465,iCell Neurons,ATP
Parathion,2,1,0.778006567,iCell Neurons,ATP
Benzo(b)fluoranthene,2,1,1.040402916,iCell Neurons,ATP
Trifluralin,2,1,0.877344315,iCell Neurons,ATP
Acenaphthene,2,1,0.992820969,iCell Neurons,ATP
"p,p'-DDD",2,1,1.131392955,iCell Neurons,ATP
Benzidine,2,1,1.090767433,iCell Neurons,ATP
Endosulfan,2,1,1.11887139,iCell Neurons,ATP
Methoxychlor,2,1,1.019255384,iCell Neurons,ATP
"2,4-Dinitrophenol",2,1,1.069898158,iCell Neurons,ATP
"2,4-Dinitrotoluene",2,1,1.109132395,iCell Neurons,ATP
Dicofol,2,1,1.184818298,iCell Neurons,ATP
p-Cresol,2,1,1.073237242,iCell Neurons,ATP
"o,p'-DDT",2,1,1.127497357,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",2,1,0.943847738,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",2,1,1.360398464,iCell Neurons,ATP
Lead nitrate,2,1,1.020646669,iCell Neurons,ATP
Cadmium chloride,2,1,1.138071122,iCell Neurons,ATP
Zinc chloride,2,1,0.808614837,iCell Neurons,ATP
Mercuric chloride,2,1,0.409872558,iCell Neurons,ATP
Potassium chromate (VI),2,1,0.683677444,iCell Neurons,ATP
Cobalt chloride,2,1,0.993099226,iCell Neurons,ATP
Nickel chloride,2,1,0.838388335,iCell Neurons,ATP
Benz(a)anthracene,1,10,0.9769925,iCell Neurons,ATP
Naphthalene,1,10,0.973941782,iCell Neurons,ATP
Fluoranthene,1,10,0.925638744,iCell Neurons,ATP
"p,p'-DDT",1,10,1.107664929,iCell Neurons,ATP
Dieldrin,1,10,1.174272277,iCell Neurons,ATP
Aldrin,1,10,1.0105504,iCell Neurons,ATP
Heptachlor,1,10,1.004448964,iCell Neurons,ATP
Lindane,1,10,1.040294903,iCell Neurons,ATP
Disulfoton,1,10,1.120122029,iCell Neurons,ATP
Endrin,1,10,1.091902885,iCell Neurons,ATP
Diazinon,1,10,1.192322359,iCell Neurons,ATP
Heptachlor epoxide,1,10,1.003940511,iCell Neurons,ATP
Pentachlorophenol,1,10,1.023261726,iCell Neurons,ATP
Dibutyl phthalate,1,10,0.97190797,iCell Neurons,ATP
Chlorpyrifos,1,10,1.105631117,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,1,10,0.431168171,iCell Neurons,ATP
"2,4,6-Trichlorophenol",1,10,0.852167281,iCell Neurons,ATP
Ethion,1,10,0.678276344,iCell Neurons,ATP
Azinphos-methyl,1,10,0.712342697,iCell Neurons,ATP
"2,4,5-Trichlorophenol",1,10,0.381085547,iCell Neurons,ATP
Parathion,1,10,0.865641286,iCell Neurons,ATP
Benzo(b)fluoranthene,1,10,1.097495869,iCell Neurons,ATP
Trifluralin,1,10,0.935045125,iCell Neurons,ATP
Acenaphthene,1,10,1.071310538,iCell Neurons,ATP
"p,p'-DDD",1,10,0.97114529,iCell Neurons,ATP
Benzidine,1,10,1.121901614,iCell Neurons,ATP
Endosulfan,1,10,1.21266048,iCell Neurons,ATP
Methoxychlor,1,10,1.164357442,iCell Neurons,ATP
"2,4-Dinitrophenol",1,10,1.116308631,iCell Neurons,ATP
"2,4-Dinitrotoluene",1,10,1.151900343,iCell Neurons,ATP
Dicofol,1,10,1.159272912,iCell Neurons,ATP
p-Cresol,1,10,1.059107665,iCell Neurons,ATP
"o,p'-DDT",1,10,1.117325537,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",1,10,1.138680564,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",1,10,1.253845176,iCell Neurons,ATP
Lead nitrate,1,10,0.023643066,iCell Neurons,ATP
Cadmium chloride,1,10,1.073090123,iCell Neurons,ATP
Zinc chloride,1,10,1.16308631,iCell Neurons,ATP
Mercuric chloride,1,10,0.023388839,iCell Neurons,ATP
Potassium chromate (VI),1,10,0.538197534,iCell Neurons,ATP
Cobalt chloride,1,10,0.932248634,iCell Neurons,ATP
Nickel chloride,1,10,0.86030253,iCell Neurons,ATP
Benz(a)anthracene,2,10,0.986977572,iCell Neurons,ATP
Naphthalene,2,10,0.874561745,iCell Neurons,ATP
Fluoranthene,2,10,0.898770104,iCell Neurons,ATP
"p,p'-DDT",2,10,0.971673438,iCell Neurons,ATP
Dieldrin,2,10,1.126106072,iCell Neurons,ATP
Aldrin,2,10,1.092993489,iCell Neurons,ATP
Heptachlor,2,10,1.104680283,iCell Neurons,ATP
Lindane,2,10,1.120262675,iCell Neurons,ATP
Disulfoton,2,10,1.230452446,iCell Neurons,ATP
Endrin,2,10,1.214870054,iCell Neurons,ATP
Diazinon,2,10,1.098836886,iCell Neurons,ATP
Heptachlor epoxide,2,10,1.09104569,iCell Neurons,ATP
Pentachlorophenol,2,10,1.182592242,iCell Neurons,ATP
Dibutyl phthalate,2,10,0.97334298,iCell Neurons,ATP
Chlorpyrifos,2,10,1.138071122,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,2,10,0.78051088,iCell Neurons,ATP
"2,4,6-Trichlorophenol",2,10,0.908509099,iCell Neurons,ATP
Ethion,2,10,0.827536313,iCell Neurons,ATP
Azinphos-methyl,2,10,0.693694696,iCell Neurons,ATP
"2,4,5-Trichlorophenol",2,10,0.681451389,iCell Neurons,ATP
Parathion,2,10,0.907952585,iCell Neurons,ATP
Benzo(b)fluoranthene,2,10,0.972786466,iCell Neurons,ATP
Trifluralin,2,10,1.091602204,iCell Neurons,ATP
Acenaphthene,2,10,0.96777784,iCell Neurons,ATP
"p,p'-DDD",2,10,1.089654405,iCell Neurons,ATP
Benzidine,2,10,1.242974011,iCell Neurons,ATP
Endosulfan,2,10,1.164783794,iCell Neurons,ATP
Methoxychlor,2,10,1.182592242,iCell Neurons,ATP
"2,4-Dinitrophenol",2,10,1.429684457,iCell Neurons,ATP
"2,4-Dinitrotoluene",2,10,1.139740664,iCell Neurons,ATP
Dicofol,2,10,1.246591352,iCell Neurons,ATP
p-Cresol,2,10,1.06878513,iCell Neurons,ATP
"o,p'-DDT",2,10,1.101897713,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",2,10,1.012298959,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",2,10,1.149201402,iCell Neurons,ATP
Lead nitrate,2,10,0.915743781,iCell Neurons,ATP
Cadmium chloride,2,10,1.193722522,iCell Neurons,ATP
Zinc chloride,2,10,0.91212644,iCell Neurons,ATP
Mercuric chloride,2,10,0.023373588,iCell Neurons,ATP
Potassium chromate (VI),2,10,0.480271579,iCell Neurons,ATP
Cobalt chloride,2,10,1.064333018,iCell Neurons,ATP
Nickel chloride,2,10,0.795536758,iCell Neurons,ATP
Benz(a)anthracene,1,100,0.72530825,iCell Neurons,ATP
Naphthalene,1,100,0.86030253,iCell Neurons,ATP
Fluoranthene,1,100,0.757086564,iCell Neurons,ATP
"p,p'-DDT",1,100,0.014999364,iCell Neurons,ATP
Dieldrin,1,100,0.02186348,iCell Neurons,ATP
Aldrin,1,100,0.01677895,iCell Neurons,ATP
Heptachlor,1,100,0.012457099,iCell Neurons,ATP
Lindane,1,100,1.087072582,iCell Neurons,ATP
Disulfoton,1,100,0.987161561,iCell Neurons,ATP
Endrin,1,100,0.882928689,iCell Neurons,ATP
Diazinon,1,100,1.054785814,iCell Neurons,ATP
Heptachlor epoxide,1,100,0.312190161,iCell Neurons,ATP
Pentachlorophenol,1,100,0.416931486,iCell Neurons,ATP
Dibutyl phthalate,1,100,1.165628575,iCell Neurons,ATP
Chlorpyrifos,1,100,0.105249778,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,1,100,0.019321215,iCell Neurons,ATP
"2,4,6-Trichlorophenol",1,100,0.412101182,iCell Neurons,ATP
Ethion,1,100,0.643955765,iCell Neurons,ATP
Azinphos-methyl,1,100,0.278632261,iCell Neurons,ATP
"2,4,5-Trichlorophenol",1,100,0.168806407,iCell Neurons,ATP
Parathion,1,100,0.874030761,iCell Neurons,ATP
Benzo(b)fluoranthene,1,100,0.844540486,iCell Neurons,ATP
Trifluralin,1,100,0.246091267,iCell Neurons,ATP
Acenaphthene,1,100,1.003177831,iCell Neurons,ATP
"p,p'-DDD",1,100,0.013982458,iCell Neurons,ATP
Benzidine,1,100,0.91063938,iCell Neurons,ATP
Endosulfan,1,100,0.015507817,iCell Neurons,ATP
Methoxychlor,1,100,0.022117707,iCell Neurons,ATP
"2,4-Dinitrophenol",1,100,0.729375874,iCell Neurons,ATP
"2,4-Dinitrotoluene",1,100,0.966314987,iCell Neurons,ATP
Dicofol,1,100,0.018558536,iCell Neurons,ATP
p-Cresol,1,100,1.035973052,iCell Neurons,ATP
"o,p'-DDT",1,100,0.017287403,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",1,100,0.536672175,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",1,100,1.096987416,iCell Neurons,ATP
Lead nitrate,1,100,0.970636837,iCell Neurons,ATP
Cadmium chloride,1,100,0.015507817,iCell Neurons,ATP
Zinc chloride,1,100,0.950807169,iCell Neurons,ATP
Mercuric chloride,1,100,0.017795856,iCell Neurons,ATP
Potassium chromate (VI),1,100,0.011185967,iCell Neurons,ATP
Cobalt chloride,1,100,0.565653998,iCell Neurons,ATP
Nickel chloride,1,100,0.566162451,iCell Neurons,ATP
Benz(a)anthracene,2,100,0.735154989,iCell Neurons,ATP
Naphthalene,2,100,0.948578107,iCell Neurons,ATP
Fluoranthene,2,100,0.919639379,iCell Neurons,ATP
"p,p'-DDT",2,100,0.014469364,iCell Neurons,ATP
Dieldrin,2,100,0.030886527,iCell Neurons,ATP
Aldrin,2,100,0.015582392,iCell Neurons,ATP
Heptachlor,2,100,0.016417163,iCell Neurons,ATP
Lindane,2,100,1.000333908,iCell Neurons,ATP
Disulfoton,2,100,0.901552674,iCell Neurons,ATP
Endrin,2,100,0.97334298,iCell Neurons,ATP
Diazinon,2,100,1.014246758,iCell Neurons,ATP
Heptachlor epoxide,2,100,0.164728143,iCell Neurons,ATP
Pentachlorophenol,2,100,0.344760421,iCell Neurons,ATP
Dibutyl phthalate,2,100,1.029272636,iCell Neurons,ATP
Chlorpyrifos,2,100,0.37175135,iCell Neurons,ATP
Di(2-ethylhexyl) phthalate,2,100,0.048416718,iCell Neurons,ATP
"2,4,6-Trichlorophenol",2,100,0.65167789,iCell Neurons,ATP
Ethion,2,100,0.87595303,iCell Neurons,ATP
Azinphos-methyl,2,100,0.36896878,iCell Neurons,ATP
"2,4,5-Trichlorophenol",2,100,0.233735878,iCell Neurons,ATP
Parathion,2,100,0.900161389,iCell Neurons,ATP
Benzo(b)fluoranthene,2,100,0.757415549,iCell Neurons,ATP
Trifluralin,2,100,0.473315154,iCell Neurons,ATP
Acenaphthene,2,100,0.980855919,iCell Neurons,ATP
"p,p'-DDD",2,100,0.012799822,iCell Neurons,ATP
Benzidine,2,100,1.023707496,iCell Neurons,ATP
Endosulfan,2,100,0.018364962,iCell Neurons,ATP
Methoxychlor,2,100,0.018364962,iCell Neurons,ATP
"2,4-Dinitrophenol",2,100,0.756302521,iCell Neurons,ATP
"2,4-Dinitrotoluene",2,100,1.188713896,iCell Neurons,ATP
Dicofol,2,100,0.01669542,iCell Neurons,ATP
p-Cresol,2,100,1.011185931,iCell Neurons,ATP
"o,p'-DDT",2,100,0.018364962,iCell Neurons,ATP
"2-Methyl-4,6-dinitrophenol",2,100,0.604652457,iCell Neurons,ATP
"1,2,3-Trichlorobenzene",2,100,1.170348934,iCell Neurons,ATP
Lead nitrate,2,100,0.0278257,iCell Neurons,ATP
Cadmium chloride,2,100,0.012799822,iCell Neurons,ATP
Zinc chloride,2,100,0.880405142,iCell Neurons,ATP
Mercuric chloride,2,100,0.015025878,iCell Neurons,ATP
Potassium chromate (VI),2,100,0.01391285,iCell Neurons,ATP
Cobalt chloride,2,100,0.680616618,iCell Neurons,ATP
Nickel chloride,2,100,0.559574823,iCell Neurons,ATP
Benz(a)anthracene,1,0.01,0.827236916,iCell Neurons,Cell Number
Naphthalene,1,0.01,0.990433315,iCell Neurons,Cell Number
Fluoranthene,1,0.01,1.097355093,iCell Neurons,Cell Number
"p,p'-DDT",1,0.01,1.108610017,iCell Neurons,Cell Number
Dieldrin,1,0.01,1.007315701,iCell Neurons,Cell Number
Aldrin,1,0.01,1.170512099,iCell Neurons,Cell Number
Heptachlor,1,0.01,1.097355093,iCell Neurons,Cell Number
Lindane,1,0.01,1.170512099,iCell Neurons,Cell Number
Disulfoton,1,0.01,1.052335397,iCell Neurons,Cell Number
Endrin,1,0.01,1.299943725,iCell Neurons,Cell Number
